,carat,depth,table,clarity,cut
0,0.73,64.6,60.0,4.0,Fair
1,0.73,66.9,54.0,0.0,Fair
2,0.5,66.5,58.0,4.0,Fair
3,0.7,64.5,57.0,4.0,Fair
4,1.01,65.3,59.0,2.0,Fair
5,0.7,64.9,59.0,0.0,Fair
6,0.7,64.3,62.0,0.0,Fair
7,1.0,64.8,59.0,2.0,Fair
8,0.58,65.8,56.0,0.0,Fair
9,0.9,64.6,58.0,4.0,Fair
10,1.01,64.5,59.0,4.0,Fair
11,0.7,67.6,54.0,6.0,Fair
12,1.03,65.3,59.0,3.0,Fair
13,1.01,66.8,61.0,4.0,Fair
14,1.19,64.9,58.0,2.0,Fair
15,2.0,65.7,60.0,2.0,Fair
16,3.02,65.2,56.0,0.0,Fair
17,0.7,70.8,56.0,0.0,Fair
18,0.96,67.3,56.0,2.0,Fair
19,1.5,65.8,57.0,3.0,Fair
20,1.0,66.1,59.0,3.0,Fair
21,0.3,66.6,54.0,7.0,Fair
22,0.73,64.7,56.0,3.0,Fair
23,1.01,64.7,54.0,4.0,Fair
24,0.7,64.5,60.0,3.0,Fair
25,1.5,64.7,55.0,3.0,Fair
26,0.51,65.5,51.0,5.0,Fair
27,2.0,69.8,54.0,0.0,Fair
28,1.0,67.6,57.0,5.0,Fair
29,1.52,65.4,62.0,0.0,Fair
30,1.58,64.7,58.0,2.0,Fair
31,0.7,66.0,53.0,2.0,Fair
32,0.98,68.0,63.0,0.0,Fair
33,1.0,64.8,62.0,5.0,Fair
34,1.5,69.6,62.0,3.0,Fair
35,0.5,66.9,57.0,5.0,Fair
36,1.02,65.3,59.0,3.0,Fair
37,1.5,64.3,58.0,2.0,Fair
38,2.0,65.9,60.0,2.0,Fair
39,1.01,65.3,57.0,2.0,Fair
40,1.21,64.5,56.0,5.0,Fair
41,2.0,65.2,56.0,5.0,Fair
42,3.11,65.9,57.0,0.0,Fair
43,1.01,68.5,63.0,3.0,Fair
44,0.85,66.7,59.0,0.0,Fair
45,0.9,64.4,53.0,5.0,Fair
46,0.9,65.5,59.0,2.0,Fair
47,1.0,68.9,56.0,2.0,Fair
48,0.98,66.6,56.0,3.0,Fair
49,2.03,64.9,59.0,3.0,Fair
50,0.71,65.4,59.0,4.0,Fair
51,1.01,64.4,59.0,2.0,Fair
52,1.0,64.9,59.0,2.0,Fair
53,1.01,65.1,57.0,2.0,Fair
54,0.29,64.7,62.0,5.0,Fair
55,1.01,65.5,62.0,5.0,Fair
56,1.08,65.1,54.0,5.0,Fair
57,0.7,66.5,62.0,0.0,Fair
58,1.0,64.9,58.0,2.0,Fair
59,0.7,66.5,55.0,2.0,Fair
60,1.59,65.2,58.0,3.0,Fair
61,2.31,67.4,56.0,0.0,Fair
62,0.51,65.2,55.0,2.0,Fair
63,0.5,65.2,57.0,3.0,Fair
64,1.01,65.5,57.0,2.0,Fair
65,1.05,64.8,55.0,3.0,Fair
66,2.0,69.1,56.0,3.0,Fair
67,1.35,66.0,58.0,3.0,Fair
68,1.52,65.4,58.0,4.0,Fair
69,1.0,67.8,53.0,3.0,Fair
70,0.7,65.9,59.0,2.0,Fair
71,0.5,66.3,55.0,5.0,Fair
72,0.73,64.4,59.0,7.0,Fair
73,0.7,65.2,59.0,5.0,Fair
74,1.03,65.5,58.0,2.0,Fair
75,2.22,70.1,55.0,0.0,Fair
76,0.8,67.1,56.0,3.0,Fair
77,0.74,65.4,53.0,7.0,Fair
78,2.0,65.1,57.0,3.0,Fair
79,0.81,65.7,57.0,3.0,Fair
80,0.96,69.7,59.0,2.0,Fair
81,1.01,64.4,58.0,5.0,Fair
82,1.51,65.3,62.0,2.0,Fair
83,0.9,64.7,59.0,3.0,Fair
84,1.21,65.0,59.0,2.0,Fair
85,0.7,67.3,59.0,0.0,Fair
86,1.22,64.7,61.0,3.0,Fair
87,1.01,66.0,57.0,2.0,Fair
88,0.63,65.7,60.0,5.0,Fair
89,2.01,65.9,57.0,3.0,Fair
90,1.5,71.3,58.0,0.0,Fair
91,1.0,69.0,56.0,3.0,Fair
92,0.7,66.4,56.0,3.0,Fair
93,1.45,64.4,58.0,3.0,Fair
94,1.52,64.7,58.0,3.0,Fair
95,1.0,64.9,56.0,5.0,Fair
96,2.0,66.3,54.0,4.0,Fair
97,1.5,65.5,53.0,3.0,Fair
98,0.7,64.4,58.0,3.0,Fair
99,1.0,65.1,55.0,3.0,Fair
100,0.71,64.4,56.0,5.0,Fair
101,0.59,64.4,59.0,4.0,Fair
102,1.12,64.6,57.0,3.0,Fair
103,0.7,65.0,56.0,2.0,Fair
104,3.65,67.1,53.0,0.0,Fair
105,2.01,65.9,57.0,3.0,Fair
106,1.41,64.7,58.0,0.0,Fair
107,0.5,64.9,57.0,4.0,Fair
108,1.0,64.6,59.0,4.0,Fair
109,0.99,68.1,56.0,3.0,Fair
110,0.7,64.9,57.0,5.0,Fair
111,1.01,66.0,56.0,7.0,Fair
112,1.51,65.7,61.0,0.0,Fair
113,0.7,67.5,55.0,0.0,Fair
114,1.9,67.1,64.0,3.0,Fair
115,0.71,64.8,63.0,3.0,Fair
116,1.0,65.4,57.0,0.0,Fair
117,0.51,65.4,60.0,7.0,Fair
118,0.7,65.3,54.0,2.0,Fair
119,1.2,65.2,58.0,2.0,Fair
120,0.96,64.3,59.0,0.0,Fair
121,1.64,64.5,60.0,0.0,Fair
122,1.01,65.3,55.0,3.0,Fair
123,3.01,65.8,56.0,3.0,Fair
124,1.47,65.9,59.0,3.0,Fair
125,1.0,66.9,55.0,7.0,Fair
126,2.01,64.4,61.0,2.0,Fair
127,0.5,66.5,60.0,4.0,Fair
128,2.02,65.6,57.0,0.0,Fair
129,0.9,64.4,59.0,3.0,Fair
130,1.01,65.2,52.0,5.0,Fair
131,0.58,65.1,58.0,3.0,Fair
132,1.02,64.6,61.0,5.0,Fair
133,1.52,67.7,58.0,0.0,Fair
134,0.9,65.2,61.0,5.0,Fair
135,1.0,64.7,60.0,2.0,Fair
136,0.7,65.7,55.0,5.0,Fair
137,1.47,66.7,59.0,0.0,Fair
138,0.74,65.2,58.0,7.0,Fair
139,0.7,64.9,59.0,4.0,Fair
140,0.71,64.6,59.0,5.0,Fair
141,1.56,64.6,62.0,2.0,Fair
142,0.6,64.5,56.0,2.0,Fair
143,0.51,66.5,58.0,3.0,Fair
144,2.14,69.4,57.0,0.0,Fair
145,0.6,66.5,56.0,3.0,Fair
146,0.48,64.9,54.0,5.0,Fair
147,0.9,65.3,61.0,2.0,Fair
148,0.9,66.9,63.0,0.0,Fair
149,0.62,65.4,59.0,2.0,Fair
150,0.9,64.5,55.0,3.0,Fair
151,0.9,69.0,59.0,3.0,Fair
152,0.7,68.3,56.0,0.0,Fair
153,0.41,64.5,57.0,7.0,Fair
154,2.52,63.7,59.0,3.0,Good
155,0.7,63.4,61.0,2.0,Good
156,1.01,63.1,57.0,0.0,Good
157,1.23,63.7,58.0,0.0,Good
158,1.01,63.6,60.0,2.0,Good
159,1.0,63.5,59.0,5.0,Good
160,0.41,63.2,58.0,2.0,Good
161,0.51,63.1,64.0,2.0,Good
162,1.01,63.2,59.0,2.0,Good
163,0.7,63.5,59.0,2.0,Good
164,0.4,63.4,59.0,3.0,Good
165,1.21,63.6,58.0,2.0,Good
166,1.0,63.7,60.0,4.0,Good
167,1.21,64.0,62.0,3.0,Good
168,1.05,63.6,59.0,3.0,Good
169,0.9,63.1,63.0,2.0,Good
170,1.01,63.7,59.0,3.0,Good
171,1.02,63.2,58.0,5.0,Good
172,1.41,63.8,60.0,5.0,Good
173,1.5,63.8,58.0,4.0,Good
174,1.04,64.0,60.0,3.0,Good
175,1.0,63.6,61.0,5.0,Good
176,0.9,63.1,58.0,3.0,Good
177,0.91,63.9,60.0,2.0,Good
178,0.3,63.4,58.0,2.0,Good
179,0.36,63.1,58.0,2.0,Good
180,1.72,63.4,62.0,3.0,Good
181,1.0,63.6,58.0,5.0,Good
182,0.52,63.6,62.0,2.0,Good
183,0.83,63.8,58.0,2.0,Good
184,0.5,63.5,58.0,3.0,Good
185,0.49,63.6,59.0,4.0,Good
186,0.5,63.2,61.0,3.0,Good
187,1.05,63.7,59.0,3.0,Good
188,0.78,63.9,64.0,2.0,Good
189,0.39,63.6,60.2,7.0,Good
190,1.0,63.9,60.0,3.0,Good
191,1.01,63.8,59.0,4.0,Good
192,1.5,64.0,56.0,0.0,Good
193,1.01,64.0,58.0,2.0,Good
194,1.2,63.7,58.0,5.0,Good
195,0.9,63.8,58.0,3.0,Good
196,0.9,63.7,61.0,5.0,Good
197,1.01,64.0,59.0,3.0,Good
198,1.02,63.5,61.0,2.0,Good
199,1.52,64.0,58.0,2.0,Good
200,0.9,63.4,59.0,3.0,Good
201,0.9,63.6,59.0,2.0,Good
202,1.5,64.0,61.0,0.0,Good
203,0.5,63.4,59.0,3.0,Good
204,0.9,63.6,58.0,5.0,Good
205,0.7,63.2,58.0,6.0,Good
206,0.91,64.2,58.0,5.0,Good
207,1.1,63.7,60.0,4.0,Good
208,1.21,63.7,64.0,3.0,Good
209,0.9,64.2,58.0,2.0,Good
210,1.14,63.7,56.0,0.0,Good
211,0.7,63.6,62.0,7.0,Good
212,1.01,63.8,60.0,2.0,Good
213,1.14,63.4,58.0,4.0,Good
214,0.73,63.7,58.0,5.0,Good
215,1.18,64.2,62.0,2.0,Good
216,1.01,63.8,60.0,2.0,Good
217,0.31,63.1,58.0,5.0,Good
218,1.5,63.6,58.0,5.0,Good
219,1.2,63.7,58.0,5.0,Good
220,0.7,63.3,58.0,3.0,Good
221,0.72,63.9,58.0,2.0,Good
222,1.51,63.6,61.0,2.0,Good
223,0.6,62.5,55.0,6.0,Ideal
224,0.32,61.7,55.0,3.0,Ideal
225,0.3,62.3,56.0,2.0,Ideal
226,0.71,60.4,56.0,3.0,Ideal
227,1.32,62.1,55.0,6.0,Ideal
228,0.71,60.5,56.0,2.0,Ideal
229,1.0,62.4,57.0,3.0,Ideal
230,2.15,60.9,56.0,2.0,Ideal
231,0.33,60.9,56.0,4.0,Ideal
232,0.34,61.7,55.0,1.0,Ideal
233,0.31,60.8,57.0,5.0,Ideal
234,0.3,61.6,54.0,4.0,Ideal
235,0.3,60.0,56.0,4.0,Ideal
236,0.91,61.7,57.0,7.0,Ideal
237,0.31,62.4,57.0,2.0,Ideal
238,0.3,61.1,55.0,3.0,Ideal
239,1.2,61.9,57.0,5.0,Ideal
240,0.53,60.8,55.0,5.0,Ideal
241,1.21,60.7,56.0,3.0,Ideal
242,0.31,62.0,56.0,2.0,Ideal
243,0.33,60.6,55.0,5.0,Ideal
244,1.51,62.9,57.0,3.0,Ideal
245,0.3,61.5,55.0,5.0,Ideal
246,0.34,61.1,57.0,7.0,Ideal
247,0.33,61.9,55.0,5.0,Ideal
248,0.35,61.6,55.1,4.0,Ideal
249,0.8,62.4,56.0,4.0,Ideal
250,0.41,62.2,55.0,4.0,Ideal
251,0.43,61.5,57.0,2.0,Ideal
252,0.34,61.3,56.0,4.0,Ideal
253,0.5,61.6,57.0,3.0,Ideal
254,1.28,62.2,56.0,2.0,Ideal
255,0.64,61.0,56.0,7.0,Ideal
256,1.11,62.7,57.0,3.0,Ideal
257,0.93,62.0,56.0,2.0,Ideal
258,0.38,61.0,55.0,2.0,Ideal
259,0.56,62.7,55.0,5.0,Ideal
260,0.41,62.6,57.0,1.0,Ideal
261,0.3,61.4,57.0,2.0,Ideal
262,0.63,60.9,57.0,1.0,Ideal
263,1.12,60.9,57.0,4.0,Ideal
264,0.3,62.2,57.0,6.0,Ideal
265,1.53,60.6,54.0,4.0,Ideal
266,0.33,62.6,57.0,5.0,Ideal
267,0.72,61.1,57.0,4.0,Ideal
268,0.71,61.3,57.0,2.0,Ideal
269,1.01,61.6,56.0,5.0,Ideal
270,0.31,61.9,55.0,6.0,Ideal
271,0.7,61.2,55.0,2.0,Ideal
272,1.03,62.4,57.0,2.0,Ideal
273,0.37,61.4,55.0,1.0,Ideal
274,0.32,61.6,55.0,7.0,Ideal
275,2.05,61.9,57.0,2.0,Ideal
276,0.3,62.3,54.0,5.0,Ideal
277,1.21,61.2,57.0,5.0,Ideal
278,1.01,61.7,57.0,3.0,Ideal
279,0.32,61.7,56.0,6.0,Ideal
280,0.73,62.1,55.8,4.0,Ideal
281,0.54,61.7,57.0,6.0,Ideal
282,0.59,61.4,56.0,2.0,Ideal
283,0.71,61.2,56.0,1.0,Ideal
284,0.25,61.9,55.0,7.0,Ideal
285,0.76,60.5,56.0,4.0,Ideal
286,1.01,61.5,57.0,4.0,Ideal
287,1.04,61.1,56.0,3.0,Ideal
288,0.32,62.2,55.0,5.0,Ideal
289,0.29,62.1,54.0,2.0,Ideal
290,0.77,62.1,56.0,3.0,Ideal
291,1.11,61.7,57.0,3.0,Ideal
292,0.42,61.7,55.0,6.0,Ideal
293,0.5,61.6,57.0,7.0,Ideal
294,1.55,62.1,56.0,6.0,Ideal
295,0.3,61.9,57.0,2.0,Ideal
296,0.51,60.2,56.0,4.0,Ideal
297,0.55,61.9,56.0,4.0,Ideal
298,0.31,61.7,55.0,5.0,Ideal
299,0.7,61.1,56.0,4.0,Ideal
300,0.56,61.8,56.0,6.0,Ideal
301,0.33,61.0,54.0,7.0,Ideal
302,2.01,62.9,54.0,4.0,Ideal
303,1.56,61.8,57.0,2.0,Ideal
304,0.32,60.9,57.0,2.0,Ideal
305,0.32,62.2,55.0,6.0,Ideal
306,0.38,61.5,57.0,7.0,Ideal
307,0.7,62.1,56.0,2.0,Ideal
308,0.25,61.2,57.0,6.0,Ideal
309,1.13,61.7,57.0,5.0,Ideal
310,1.0,61.5,55.0,7.0,Ideal
311,1.2,61.1,57.0,3.0,Ideal
312,0.33,62.1,57.0,5.0,Ideal
313,0.54,62.2,56.0,4.0,Ideal
314,1.28,62.7,53.0,4.0,Ideal
315,0.41,62.4,55.0,2.0,Ideal
316,0.72,62.0,56.0,6.0,Ideal
317,0.82,62.4,56.0,2.0,Ideal
318,1.01,62.8,57.0,1.0,Ideal
319,0.34,61.5,56.0,6.0,Ideal
320,0.6,61.6,56.0,4.0,Ideal
321,0.39,61.9,54.0,1.0,Ideal
322,0.35,62.0,55.0,5.0,Ideal
323,1.57,62.0,56.0,2.0,Ideal
324,0.44,60.9,57.0,7.0,Ideal
325,0.26,62.1,54.0,4.0,Ideal
326,1.02,61.3,57.0,6.0,Ideal
327,1.19,61.5,55.0,6.0,Ideal
328,1.27,61.6,56.1,5.0,Ideal
329,0.38,62.6,56.0,6.0,Ideal
330,0.31,62.2,53.0,7.0,Ideal
331,1.2,62.9,55.0,7.0,Ideal
332,0.38,61.3,54.0,3.0,Ideal
333,0.59,62.9,56.0,5.0,Ideal
334,0.3,62.9,57.0,2.0,Ideal
335,0.59,62.2,56.0,7.0,Ideal
336,0.32,61.4,56.0,3.0,Ideal
337,1.03,61.5,57.0,4.0,Ideal
338,0.32,62.5,55.0,2.0,Ideal
339,0.5,62.7,57.0,4.0,Ideal
340,0.31,62.8,57.0,7.0,Ideal
341,1.14,61.4,57.0,4.0,Ideal
342,1.04,60.5,57.0,5.0,Ideal
343,0.4,62.1,55.0,2.0,Ideal
344,0.72,62.6,56.0,7.0,Ideal
345,0.4,62.3,57.0,4.0,Ideal
346,0.7,63.1,54.0,3.0,Ideal
347,0.74,62.3,56.0,4.0,Ideal
348,0.31,62.8,57.0,4.0,Ideal
349,0.31,62.1,55.0,6.0,Ideal
350,0.31,62.7,57.0,2.0,Ideal
351,1.54,61.2,56.0,4.0,Ideal
352,0.31,61.1,54.0,4.0,Ideal
353,0.39,60.5,56.0,2.0,Ideal
354,1.6,62.8,56.0,3.0,Ideal
355,0.31,61.4,56.0,5.0,Ideal
356,0.79,61.4,56.0,2.0,Ideal
357,0.31,61.2,56.0,6.0,Ideal
358,0.3,62.5,54.0,1.0,Ideal
359,0.4,61.3,56.0,6.0,Ideal
360,0.56,61.5,57.0,5.0,Ideal
361,1.09,62.4,55.0,5.0,Ideal
362,1.54,62.0,57.0,4.0,Ideal
363,1.39,61.5,55.0,5.0,Ideal
364,0.51,62.4,55.0,1.0,Ideal
365,0.4,61.6,56.0,4.0,Ideal
366,0.31,61.1,56.0,6.0,Ideal
367,0.36,61.7,56.0,1.0,Ideal
368,0.33,61.9,55.0,6.0,Ideal
369,1.01,61.2,57.0,3.0,Ideal
370,0.38,62.4,53.2,6.0,Ideal
371,0.32,61.5,54.0,2.0,Ideal
372,0.51,61.6,56.0,5.0,Ideal
373,0.33,61.6,53.0,1.0,Ideal
374,1.11,62.1,55.0,6.0,Ideal
375,0.56,61.8,54.0,2.0,Ideal
376,0.4,62.2,55.0,2.0,Ideal
377,1.01,61.0,57.0,7.0,Ideal
378,0.3,62.3,52.8,1.0,Ideal
379,0.53,61.6,55.0,4.0,Ideal
380,0.97,61.7,56.0,2.0,Ideal
381,0.33,60.7,57.0,5.0,Ideal
382,1.2,62.2,55.0,5.0,Ideal
383,1.0,62.7,57.0,2.0,Ideal
384,0.73,62.3,56.0,4.0,Ideal
385,0.55,62.4,55.0,7.0,Ideal
386,1.02,62.2,56.0,2.0,Ideal
387,1.31,62.3,56.0,3.0,Ideal
388,0.55,62.1,55.0,2.0,Ideal
389,0.91,62.3,56.0,2.0,Ideal
390,0.42,62.4,55.0,5.0,Ideal
391,0.31,61.7,56.0,4.0,Ideal
392,0.54,61.8,54.0,3.0,Ideal
393,0.9,61.5,56.0,3.0,Ideal
394,1.02,60.7,57.0,3.0,Ideal
395,0.4,61.3,55.0,4.0,Ideal
396,0.43,62.0,57.0,6.0,Ideal
397,0.32,62.0,55.0,7.0,Ideal
398,1.61,62.2,56.0,5.0,Ideal
399,2.3,61.6,56.0,3.0,Ideal
400,0.34,62.3,57.0,2.0,Ideal
401,0.41,61.6,54.0,4.0,Ideal
402,1.2,61.7,56.0,4.0,Ideal
403,0.5,61.4,55.0,5.0,Ideal
404,1.6,61.7,56.0,3.0,Ideal
405,0.53,60.8,56.0,2.0,Ideal
406,1.22,61.5,56.0,4.0,Ideal
407,0.85,63.0,56.0,2.0,Ideal
408,1.02,61.6,55.0,3.0,Ideal
409,0.8,62.0,57.0,2.0,Ideal
410,1.01,62.7,57.0,3.0,Ideal
411,1.25,62.5,56.0,5.0,Ideal
412,1.14,61.7,53.0,4.0,Ideal
413,0.5,62.9,57.0,3.0,Ideal
414,0.9,61.1,56.0,2.0,Ideal
415,1.07,62.8,54.0,7.0,Ideal
416,0.36,60.0,56.0,5.0,Ideal
417,2.0,62.4,55.0,5.0,Ideal
418,1.65,60.4,60.0,2.0,Premium
419,1.53,62.7,60.0,3.0,Premium
420,1.21,62.7,59.0,3.0,Premium
421,0.32,60.1,61.0,5.0,Premium
422,0.82,61.1,60.0,2.0,Premium
423,0.57,59.8,59.0,5.0,Premium
424,0.51,60.5,59.0,2.0,Premium
425,0.51,62.2,58.0,2.0,Premium
426,1.13,61.4,59.0,3.0,Premium
427,1.37,60.9,59.0,5.0,Premium
428,0.34,62.6,59.0,5.0,Premium
429,2.02,60.8,62.0,5.0,Premium
430,1.38,60.2,60.0,3.0,Premium
431,0.76,60.1,59.0,5.0,Premium
432,0.37,58.4,59.0,4.0,Premium
433,2.04,60.3,60.0,3.0,Premium
434,1.5,58.9,60.0,3.0,Premium
435,1.3,59.9,59.0,2.0,Premium
436,1.0,62.5,59.0,3.0,Premium
437,0.77,61.9,59.0,3.0,Premium
438,0.33,62.3,59.0,2.0,Premium
439,0.52,61.7,58.0,4.0,Premium
440,1.62,61.7,59.0,4.0,Premium
441,1.0,60.1,61.0,2.0,Premium
442,0.38,61.3,59.0,2.0,Premium
443,0.71,61.4,58.0,2.0,Premium
444,0.55,60.3,62.0,5.0,Premium
445,2.8,61.1,59.0,3.0,Premium
446,0.32,59.9,58.0,7.0,Premium
447,0.5,61.3,59.0,5.0,Premium
448,2.01,61.6,58.0,3.0,Premium
449,1.54,59.3,59.0,5.0,Premium
450,0.41,62.4,58.0,5.0,Premium
451,0.5,61.4,59.0,5.0,Premium
452,0.5,62.3,58.0,2.0,Premium
453,0.32,60.2,60.0,7.0,Premium
454,0.73,61.7,58.0,2.0,Premium
455,0.69,61.0,60.0,5.0,Premium
456,1.21,60.3,60.0,5.0,Premium
457,0.95,62.8,59.0,2.0,Premium
458,0.93,62.3,58.0,2.0,Premium
459,0.3,61.1,61.0,6.0,Premium
460,1.53,62.9,59.0,2.0,Premium
461,0.38,60.9,60.0,5.0,Premium
462,0.33,60.1,59.0,2.0,Premium
463,1.04,61.0,58.0,2.0,Premium
464,0.33,61.0,59.0,7.0,Premium
465,0.7,62.1,59.0,2.0,Premium
466,0.33,61.0,58.0,7.0,Premium
467,2.01,61.5,62.0,4.0,Premium
468,1.01,58.5,59.0,7.0,Premium
469,0.41,60.2,59.0,4.0,Premium
470,1.25,62.0,59.0,5.0,Premium
471,0.72,59.1,61.0,3.0,Premium
472,0.5,61.8,58.0,5.0,Premium
473,1.33,61.5,58.0,4.0,Premium
474,1.01,61.6,59.0,5.0,Premium
475,0.32,62.3,60.0,5.0,Premium
476,0.95,62.6,59.0,7.0,Premium
477,1.51,62.8,60.0,3.0,Premium
478,1.01,59.2,60.0,2.0,Premium
479,0.31,61.5,59.0,2.0,Premium
480,0.41,62.8,59.0,2.0,Premium
481,0.7,61.9,60.0,2.0,Premium
482,0.7,60.5,58.0,2.0,Premium
483,0.31,62.1,59.0,6.0,Premium
484,1.0,62.3,59.0,2.0,Premium
485,1.57,60.9,58.0,3.0,Premium
486,1.64,62.8,59.0,2.0,Premium
487,1.0,61.2,58.0,2.0,Premium
488,1.71,61.3,58.0,5.0,Premium
489,1.09,59.4,60.0,3.0,Premium
490,1.05,58.9,58.0,3.0,Premium
491,0.31,60.8,58.0,5.0,Premium
492,1.12,62.4,58.0,3.0,Premium
493,1.24,61.6,59.0,2.0,Premium
494,1.16,60.5,59.0,5.0,Premium
495,0.7,61.7,60.0,4.0,Premium
496,1.01,59.1,58.0,5.0,Premium
497,1.19,62.7,61.0,2.0,Premium
498,0.75,61.9,61.0,4.0,Premium
499,0.71,61.3,58.0,2.0,Premium
500,0.92,62.2,58.0,2.0,Premium
501,1.02,61.9,58.0,4.0,Premium
502,0.32,62.3,58.0,4.0,Premium
503,1.51,60.9,58.0,7.0,Premium
504,0.31,61.5,58.0,7.0,Premium
505,0.34,59.9,59.0,3.0,Premium
506,1.2,59.6,58.0,5.0,Premium
507,0.36,61.5,58.0,3.0,Premium
508,1.11,61.8,59.0,0.0,Premium
509,1.14,62.6,58.0,3.0,Premium
510,0.6,62.0,59.0,3.0,Premium
511,0.31,59.9,59.0,4.0,Premium
512,0.72,62.8,58.0,6.0,Premium
513,2.01,59.4,62.0,3.0,Premium
514,0.3,62.2,58.0,2.0,Premium
515,1.13,58.3,60.0,3.0,Premium
516,0.9,62.7,60.0,4.0,Premium
517,0.31,60.5,60.0,2.0,Premium
518,0.43,62.3,59.0,2.0,Premium
519,1.24,62.2,58.0,3.0,Premium
520,1.21,61.0,58.0,5.0,Premium
521,0.43,61.0,60.0,3.0,Premium
522,2.38,60.6,59.0,3.0,Premium
523,1.23,58.5,59.0,7.0,Premium
524,0.32,62.6,58.0,2.0,Premium
525,0.43,59.9,58.0,4.0,Premium
526,0.31,61.1,59.0,4.0,Premium
527,0.37,63.0,58.0,5.0,Premium
528,0.3,62.6,58.0,5.0,Premium
529,0.28,61.3,60.0,6.0,Premium
530,2.75,60.5,61.0,3.0,Premium
531,1.6,62.1,60.0,2.0,Premium
532,0.31,60.6,59.0,6.0,Premium
533,0.73,60.0,58.0,4.0,Premium
534,0.42,59.9,61.0,4.0,Premium
535,1.22,61.2,58.0,5.0,Premium
536,1.22,62.6,58.0,2.0,Premium
537,1.53,60.7,60.0,3.0,Premium
538,0.31,60.6,60.0,7.0,Premium
539,1.28,60.8,60.0,4.0,Premium
540,2.05,60.0,58.0,3.0,Premium
541,0.71,62.4,58.0,4.0,Premium
542,1.52,60.4,59.0,2.0,Premium
543,1.71,61.4,60.0,5.0,Premium
544,1.3,62.5,58.0,4.0,Premium
545,2.01,60.1,59.0,2.0,Premium
546,0.31,61.3,59.0,5.0,Premium
547,1.01,62.5,62.0,3.0,Premium
548,0.33,62.2,59.0,2.0,Premium
549,0.54,58.8,61.0,1.0,Premium
550,0.32,61.0,61.0,5.0,Premium
551,0.31,61.2,59.0,6.0,Premium
552,0.9,58.0,61.0,5.0,Premium
553,0.7,58.4,61.0,3.0,Premium
554,1.32,60.9,59.0,5.0,Premium
555,0.53,60.0,58.0,2.0,Premium
556,0.94,62.5,58.0,5.0,Premium
557,0.3,60.0,60.0,2.0,Premium
558,0.41,61.0,59.0,7.0,Premium
559,1.01,59.8,58.0,0.0,Premium
560,0.56,60.8,60.0,2.0,Premium
561,1.0,59.9,60.0,7.0,Premium
562,0.95,58.8,60.0,3.0,Premium
563,0.42,62.7,59.0,2.0,Premium
564,0.32,61.7,58.0,4.0,Premium
565,0.33,60.1,58.0,6.0,Premium
566,1.01,62.7,59.0,2.0,Premium
567,0.31,62.4,58.0,4.0,Premium
568,0.9,59.5,58.0,5.0,Premium
569,0.51,61.5,58.0,5.0,Premium
570,0.31,62.3,59.0,4.0,Premium
571,0.92,59.4,60.0,3.0,Premium
572,2.38,60.9,59.0,4.0,Premium
573,1.13,58.6,59.0,4.0,Premium
574,0.31,60.7,61.0,5.0,Premium
575,0.4,60.9,60.0,2.0,Premium
576,1.5,59.2,62.0,2.0,Premium
577,0.36,61.4,58.0,2.0,Premium
578,0.31,60.3,59.0,3.0,Premium
579,0.5,62.4,58.0,2.0,Premium
580,0.36,61.1,59.0,2.0,Premium
581,0.32,61.6,58.0,1.0,Premium
582,0.72,60.7,60.0,7.0,Premium
583,2.06,61.0,61.0,3.0,Premium
584,0.81,60.8,59.0,2.0,Premium
585,1.11,61.5,58.0,3.0,Premium
586,2.33,59.9,59.0,2.0,Premium
587,1.27,60.9,59.0,2.0,Premium
588,0.31,59.5,59.0,4.0,Premium
589,1.5,62.6,59.0,3.0,Premium
590,0.91,62.2,60.0,2.0,Premium
591,0.34,59.3,60.0,2.0,Premium
592,1.02,62.0,59.0,3.0,Premium
593,0.77,60.8,59.0,2.0,Premium
594,1.15,62.6,58.0,2.0,Premium
595,2.1,61.3,58.0,6.0,Premium
596,0.57,60.7,59.0,3.0,Premium
597,1.5,60.6,61.0,5.0,Premium
598,1.53,61.3,59.0,2.0,Premium
